2021-11-15 19:38:25 VERBOSE  task          tv              REJECTED: `Only Connect S17E02 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E02 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:38:25 VERBOSE  task          tv              REJECTED: `Only Connect S17E03 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E03 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:38:25 VERBOSE  task          tv              REJECTED: `Only Connect S17E04 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E04 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:38:25 VERBOSE  task          tv              REJECTED: `Only Connect S17E06 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E06 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:38:25 VERBOSE  task          tv              REJECTED: `Only Connect S17E05 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E05 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:38:25 VERBOSE  details       tv              Summary - Accepted: 0 (Rejected: 18 Undecided: 82 Failed: 0)
2021-11-15 19:40:54 VERBOSE  task_queue                    There are 1 tasks to execute. Shutdown will commence when they have completed.
2021-11-15 19:40:54 VERBOSE  details       tv              Produced 100 entries.
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E13 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E13 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E14 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E14 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E15 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E15 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E16 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E16 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E18 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E18 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E17 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E17 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E09 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E09 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
2021-11-15 19:40:54 VERBOSE  task          tv              REJECTED: `Only Connect S17E10 480p x264-mSD` by seen plugin because entry with title `Only Connect S17E10 480p x264-mSD` is already marked seen in the task tv at 2021-11-15 19:34
